Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Power,Price,Model,Brand
2010,72000,CNG,Manual,First,26.6,58.16,1.75,WAGON R LXI CNG,Maruti
2015,41000,Diesel,Manual,First,19.67,126.2,12.5,CRETA 1.6 CRDI SX OPTION,Hyundai
2011,46000,Petrol,Manual,First,18.2,88.7,4.5,JAZZ V,Honda
2012,87000,Diesel,Manual,First,20.77,88.76,6.0,ERTIGA VDI,Maruti
2013,40670,Diesel,Automatic,Second,15.2,140.8,17.74,A4 NEW 2.0 TDI MULTITRONIC,Audi
2012,75000,LPG,Manual,First,21.1,55.2,2.35,EON LPG ERA PLUS OPTION,Hyundai
2013,86999,Diesel,Manual,First,23.08,63.1,3.5,MICRA DIESEL XV,Nissan
2016,36000,Diesel,Automatic,First,11.36,171.5,17.5,INNOVA CRYSTA 2.8 GX AT 8S,Toyota
2013,64430,Diesel,Manual,First,20.54,103.6,5.2,VENTO DIESEL COMFORTLINE,Volkswagen
2012,65932,Diesel,Manual,Second,22.3,74.0,1.95,INDICA VISTA QUADRAJET LS,Tata
2018,25692,Petrol,Manual,First,21.56,103.25,9.95,CIAZ ZETA,Maruti
2012,60000,Petrol,Automatic,First,16.8,116.3,4.49,CITY 1.5 V AT SUNROOF,Honda
2015,64424,Diesel,Manual,First,25.2,74.0,5.6,SWIFT VDI BSIV,Maruti
2014,72000,Diesel,Automatic,First,12.7,187.7,27.0,ROVER RANGE ROVER 2.2L PURE,Land
2012,85000,Diesel,Automatic,Second,18.15,115.0,17.5,ROVER FREELANDER 2 TD4 SE,Land
2014,110000,Diesel,Manual,First,13.5,175.56,15.0,PAJERO SPORT 4X4,Mitsubishi
2016,58950,Diesel,Manual,First,25.8,98.6,5.4,AMAZE S I-DTECH,Honda
2017,25000,Diesel,Manual,First,28.4,74.0,5.99,SWIFT DDIS VDI,Maruti
2014,77469,Diesel,Manual,First,20.45,83.8,6.34,DUSTER 85PS DIESEL RXL PLUS,Renault
2014,78500,Diesel,Automatic,First,14.84,167.62,28.0,NEW C-CLASS C 220 CDI BE AVANTGARE,Mercedes-Benz
2014,32982,Diesel,Automatic,First,22.69,190.0,18.55,3 SERIES 320D,BMW
2015,55392,Diesel,Manual,Second,23.65,88.5,8.25,S CROSS DDIS 200 ALPHA,Maruti
2015,55985,Petrol,Automatic,First,13.53,177.01,23.5,A6 2011-2015 35 TFSI TECHNOLOGY,Audi
2010,45807,Petrol,Manual,First,18.5,80.0,1.87,I20 1.2 MAGNA,Hyundai
2010,33000,Petrol,Automatic,First,14.4,103.6,2.85,VENTO PETROL HIGHLINE AT,Volkswagen
2012,51920,Petrol,Manual,First,16.8,116.3,4.25,CITY CORPORATE EDITION,Honda
2012,54000,Diesel,Manual,First,23.08,63.1,4.25,MICRA DIESEL XV,Nissan
2013,54000,Petrol,Manual,Second,20.92,67.1,2.75,ALTO K10 2010-2014 VXI,Maruti
2018,37430,Petrol,Manual,First,17.5,88.7,9.9,WRV I-VTEC VX,Honda
2007,53000,Diesel,Manual,Fourth & Above,12.8,102.0,4.0,INNOVA 2.5 V DIESEL 7-SEATER,Toyota
2013,62000,Diesel,Manual,First,19.01,108.45,7.75,DUSTER 110PS DIESEL RXZ PACK,Renault
2012,87615,Petrol,Manual,First,14.53,138.1,6.75,COROLLA ALTIS G,Toyota
2013,72000,Diesel,Automatic,Second,11.18,184.0,12.5,SSANGYONG REXTON RX7,Mahindra
2010,35000,Diesel,Automatic,First,12.4,179.5,11.5,A6 2.7 TDI,Audi
2014,55431,Petrol,Manual,Second,16.09,103.5,6.98,VENTO 1.6 HIGHLINE,Volkswagen
2009,83816,Petrol,Manual,Second,14.0,64.0,1.85,WAGON R LXI BSIII,Maruti
2018,50075,Diesel,Manual,First,24.3,88.5,8.63,VITARA BREZZA ZDI PLUS,Maruti
2017,52000,Petrol,Manual,First,18.15,82.0,4.85,KUV 100 MFALCON G80 K6 5STR AW,Mahindra
2013,85000,Diesel,Automatic,First,11.74,97.7,28.0,M-CLASS ML 350 CDI,Mercedes-Benz
2013,62000,Diesel,Manual,First,22.07,73.9,5.0,POLO DIESEL TRENDLINE 1.2L,Volkswagen
2008,90000,Petrol,Manual,Second,19.7,46.3,1.25,ALTO LXI,Maruti
2014,19698,Petrol,Manual,First,25.4,37.5,1.53,NANO LX SE,Tata
2017,22033,Diesel,Manual,First,25.32,77.0,5.58,KUV 100 MFALCON D75 K8 DUAL TONE,Mahindra
2014,35487,Petrol,Manual,First,18.5,82.9,4.74,I20 MAGNA OPTIONAL 1.2,Hyundai
2014,46374,Petrol,Automatic,First,14.62,149.92,8.85,ELANTRA 2.0 SX OPTION AT,Hyundai
2016,52001,Petrol,Automatic,First,14.28,138.03,10.11,COROLLA ALTIS G AT,Toyota
2008,58005,Diesel,Manual,Second,14.9,112.2,4.25,ELANTRA CRDI,Hyundai
2012,70704,Petrol,Manual,First,11.25,163.7,10.95,INNOVA CRYSTA 2.7 GX MT,Toyota
2014,75000,Diesel,Manual,First,24.4,71.0,3.85,XCENT 1.1 CRDI S,Hyundai
2012,75800,Diesel,Manual,Second,16.55,105.0,5.5,THAR CRDE AC,Mahindra
2015,13648,Diesel,Automatic,First,17.11,174.33,21.43,A4 2.0 TDI 177 BHP PREMIUM PLUS,Audi
2014,52000,Diesel,Manual,First,22.9,74.0,4.25,SWIFT LDI,Maruti
2014,53000,Diesel,Manual,First,17.8,75.0,3.3,SWIFT LDI BSIV,Maruti
2013,65650,Diesel,Manual,First,28.4,74.0,3.85,SWIFT VDI,Maruti
2015,54000,Petrol,Manual,Third,18.9,82.0,3.6,GRAND I10 SPORTZ,Hyundai
2015,39000,Petrol,Manual,First,15.04,103.2,3.99,VENTO 2013-2015 1.6 COMFORTLINE,Volkswagen
2017,16542,Petrol,Manual,First,25.17,53.3,3.3,KWID RXT,Renault
2010,32000,Petrol,Manual,First,20.36,78.9,2.07,I10 ASTA,Hyundai
2010,121812,Diesel,Automatic,First,13.29,147.6,7.75,X-TRAIL SLX AT,Nissan
2010,39300,Petrol,Manual,First,18.2,67.1,2.25,ZEN ESTILO VXI BSIII,Maruti
2017,22000,Diesel,Manual,First,13.68,147.8,16.5,INNOVA CRYSTA 2.4 GX MT 8S,Toyota
2010,72000,Diesel,Manual,First,20.0,68.0,2.75,FIGO DIESEL TITANIUM,Ford
2015,58000,Petrol,Automatic,First,11.74,186.0,26.7,NEW C-CLASS C 200 CGI AVANTGARDE,Mercedes-Benz
2011,65000,Diesel,Manual,Second,15.8,170.0,10.0,NEW C-CLASS 200 CDI CLASSIC,Mercedes-Benz
2016,53000,Diesel,Manual,First,25.0,69.0,2.5,INDICA V2 ELS,Tata
2012,65664,Diesel,Automatic,First,16.55,140.0,13.5,A4 2.0 TDI MULTITRONIC,Audi
2007,63000,Petrol,Automatic,Second,16.4,78.0,1.85,CITY ZX CVT,Honda
2019,15369,Diesel,Automatic,First,18.15,194.0,35.67,C-CLASS PROGRESSIVE C 220D,Mercedes-Benz
2016,63000,Diesel,Manual,First,24.52,88.5,8.15,ERTIGA SHVS VDI,Maruti
2018,13000,Diesel,Manual,First,22.1,88.7,10.5,CRETA 1.4 E PLUS DIESEL,Hyundai
2008,73000,Petrol,Automatic,First,8.5,97.7,14.5,CAYENNE 2009-2014 TURBO,Porsche
2015,55729,Diesel,Manual,First,15.1,140.0,9.65,XUV500 W8 4WD,Mahindra
2012,45178,Petrol,Automatic,First,16.95,78.9,3.48,I10 SPORTZ 1.2 AT,Hyundai
2015,56066,Diesel,Manual,First,19.64,108.5,6.92,TERRANO XV D PRE,Nissan
2016,37300,Petrol,Automatic,Second,16.5,86.8,6.46,BRIO VX AT,Honda
2014,56000,Diesel,Automatic,Second,18.53,187.74,29.5,A6 2.0 TDI DESIGN EDITION,Audi
2008,111111,Diesel,Manual,First,17.8,97.7,2.0,FIESTA 1.4 SXI TDCI,Ford
2006,53000,Petrol,Manual,Third,12.4,132.0,4.5,INNOVA 2.0 G1,Toyota
2012,104000,Diesel,Manual,First,12.8,102.0,11.75,INNOVA 2.5 VX 7 STR BSIV,Toyota
2005,87591,Petrol,Manual,First,18.15,97.7,1.3,SANTRO XING XL,Hyundai
2012,95100,Diesel,Manual,First,22.9,74.0,3.75,SWIFT VDI,Maruti
2017,70000,Petrol,Manual,First,17.57,88.7,4.5,ZEST REVOTRON 1.2T XE,Tata
2016,54944,Petrol,Manual,First,18.0,86.7,4.82,AMAZE SX I-VTEC,Honda
2012,70337,Diesel,Manual,First,20.0,68.0,2.8,FIGO DIESEL ZXI,Ford
2013,99638,Diesel,Manual,First,23.2,73.94,3.11,RITZ VDI,Maruti
2009,52000,Petrol,Manual,First,17.8,117.3,3.25,CITY I VTEC E,Honda
2011,75000,Diesel,Automatic,Second,16.73,218.0,13.9,5 SERIES 2003-2012 525D,BMW
2009,95980,Petrol,Manual,First,20.36,78.9,2.25,I10 SPORTZ 1.2,Hyundai
2016,16000,Petrol,Manual,First,18.9,82.0,5.75,GRAND I10 SPORTZ,Hyundai
2007,73745,Petrol,Manual,First,17.0,97.7,2.1,SANTRO XING XO,Hyundai
2016,18949,Petrol,Manual,First,17.8,86.7,5.0,AMAZE SX I-VTEC,Honda
2014,107000,Diesel,Manual,First,13.0,168.5,16.5,FORTUNER 4X2 MANUAL,Toyota
2018,48367,Diesel,Automatic,First,17.68,174.33,39.58,A6 2011-2015 35 TDI PREMIUM,Audi
2013,57000,Diesel,Manual,First,22.7,89.84,5.5,ECOSPORT 1.5 DV5 MT TITANIUM OPTIONAL,Ford
2014,58000,Diesel,Manual,First,15.1,140.0,8.1,XUV500 W8 2WD,Mahindra
2015,30000,Diesel,Manual,First,25.8,98.6,3.5,AMAZE SX I-DTEC,Honda
2013,34212,Diesel,Manual,First,22.07,73.9,2.79,POLO DIESEL HIGHLINE 1.2L,Volkswagen
2010,70002,Diesel,Manual,First,16.2,110.0,3.45,VERNA TRANSFORM SX VGT CRDI,Hyundai
2016,62000,Petrol,Manual,First,18.9,67.1,4.45,WAGON R VXI BS IV,Maruti
2010,62001,Petrol,Manual,First,15.26,103.5,2.65,POLO PETROL HIGHLINE 1.6L,Volkswagen
2011,78958,Diesel,Manual,Second,23.0,90.0,3.8,I20 1.4 CRDI SPORTZ,Hyundai
2014,30180,Petrol,Manual,First,18.5,82.85,4.65,I20 ASTA 1.2,Hyundai
2017,32851,Petrol,Manual,First,19.83,67.0,3.95,GO PLUS T PETROL,Datsun
2010,30000,Diesel,Automatic,First,14.94,97.7,9.8,A4 3.0 TDI QUATTRO PREMIUM,Audi
2009,66000,Petrol,Manual,Second,17.0,80.0,2.7,I20 2015-2017 ASTA,Hyundai
2010,93850,Petrol,Manual,First,14.0,35.0,2.41,OMNI 5 STR STD,Maruti
2014,53000,Petrol,Manual,First,17.71,78.9,3.9,ETIOS LIVA 1.2 G,Toyota
2011,78000,Diesel,Automatic,Second,14.74,97.7,24.0,XF 3.0 LITRE S PREMIUM LUXURY,Jaguar
2012,65000,Diesel,Manual,Second,16.0,140.0,5.75,XUV500 W8 2WD,Mahindra
