,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Power,Price,brand,model,Engine 
0,2010,72000,CNG,Manual,First,26.6,26.6,1.75,MARUTI,WAGON R,998.0
1,2015,41000,Diesel,Manual,First,19.67,19.67,12.5,HYUNDAI,CRETA 1.6,1582.0
2,2011,46000,Petrol,Manual,First,18.2,18.2,4.5,HONDA,JAZZ V,1199.0
3,2012,87000,Diesel,Manual,First,20.77,20.77,6.0,MARUTI,ERTIGA VDI,1248.0
4,2013,40670,Diesel,Automatic,Second,15.2,15.2,17.74,AUDI,A4 NEW,1968.0
5,2012,75000,LPG,Manual,First,21.1,21.1,2.35,HYUNDAI,EON LPG,814.0
6,2013,86999,Diesel,Manual,First,23.08,23.08,3.5,NISSAN,MICRA DIESEL,1461.0
7,2016,36000,Diesel,Automatic,First,11.36,11.36,17.5,TOYOTA,INNOVA CRYSTA,2755.0
8,2013,64430,Diesel,Manual,First,20.54,20.54,5.2,VOLKSWAGEN,VENTO DIESEL,1598.0
9,2012,65932,Diesel,Manual,Second,22.3,22.3,1.95,TATA,INDICA VISTA,1248.0
10,2018,25692,Petrol,Manual,First,21.56,21.56,9.95,MARUTI,CIAZ ZETA,1462.0
11,2012,60000,Petrol,Automatic,First,16.8,16.8,4.49,HONDA,CITY 1.5,1497.0
12,2015,64424,Diesel,Manual,First,25.2,25.2,5.6,MARUTI,SWIFT VDI,1248.0
13,2014,72000,Diesel,Automatic,First,12.7,12.7,27.0,LAND,ROVER RANGE,2179.0
14,2012,85000,Diesel,Automatic,Second,0.0,0.0,17.5,LAND,ROVER FREELANDER,2179.0
15,2014,110000,Diesel,Manual,First,13.5,13.5,15.0,MITSUBISHI,PAJERO SPORT,2477.0
16,2016,58950,Diesel,Manual,First,25.8,25.8,5.4,HONDA,AMAZE S,1498.0
17,2017,25000,Diesel,Manual,First,28.4,28.4,5.99,MARUTI,SWIFT DDIS,1248.0
18,2014,77469,Diesel,Manual,First,20.45,20.45,6.34,RENAULT,DUSTER 85PS,1461.0
19,2014,78500,Diesel,Automatic,First,14.84,14.84,28.0,MERCEDES-BENZ,NEW C-CLASS,2143.0
20,2014,32982,Diesel,Automatic,First,22.69,22.69,18.55,BMW,3 SERIES,1995.0
21,2015,55392,Diesel,Manual,Second,23.65,23.65,8.25,MARUTI,S CROSS,1248.0
22,2015,55985,Petrol,Automatic,First,13.53,13.53,23.5,AUDI,A6 2011-2015,1984.0
23,2010,45807,Petrol,Manual,First,18.5,18.5,1.87,HYUNDAI,I20 1.2,1197.0
24,2010,33000,Petrol,Automatic,First,14.4,14.4,2.85,VOLKSWAGEN,VENTO PETROL,1598.0
25,2012,51920,Petrol,Manual,First,16.8,16.8,4.25,HONDA,CITY CORPORATE,1497.0
26,2012,54000,Diesel,Manual,First,23.08,23.08,4.25,NISSAN,MICRA DIESEL,1461.0
27,2013,54000,Petrol,Manual,Second,20.92,20.92,2.75,MARUTI,ALTO K10,998.0
28,2018,37430,Petrol,Manual,First,17.5,17.5,9.9,HONDA,WRV I-VTEC,1199.0
29,2007,262000,Diesel,Manual,Fourth & Above,12.8,12.8,4.0,TOYOTA,INNOVA 2.5,2494.0
30,2013,62000,Diesel,Manual,First,19.01,19.01,7.75,RENAULT,DUSTER 110PS,1461.0
31,2012,87615,Petrol,Manual,First,14.53,14.53,6.75,TOYOTA,COROLLA ALTIS,1798.0
32,2013,72000,Diesel,Automatic,Second,11.18,11.18,12.5,MAHINDRA,SSANGYONG REXTON,2696.0
33,2010,35000,Diesel,Automatic,First,12.4,12.4,11.5,AUDI,A6 2.7,2698.0
34,2014,55431,Petrol,Manual,Second,16.09,16.09,6.98,VOLKSWAGEN,VENTO 1.6,1598.0
35,2009,83816,Petrol,Manual,Second,14.0,14.0,1.85,MARUTI,WAGON R,1061.0
36,2018,50075,Diesel,Manual,First,24.3,24.3,8.63,MARUTI,VITARA BREZZA,1248.0
37,2017,52000,Petrol,Manual,First,18.15,18.15,4.85,MAHINDRA,KUV 100,1198.0
38,2013,85000,Diesel,Automatic,First,11.74,11.74,28.0,MERCEDES-BENZ,M-CLASS ML,2987.0
39,2013,62000,Diesel,Manual,First,22.07,22.07,5.0,VOLKSWAGEN,POLO DIESEL,1199.0
40,2008,90000,Petrol,Manual,Second,19.7,19.7,1.25,MARUTI,ALTO LXI,796.0
41,2014,19698,Petrol,Manual,First,25.4,25.4,1.53,TATA,NANO LX,624.0
42,2017,22033,Diesel,Manual,First,25.32,25.32,5.58,MAHINDRA,KUV 100,1198.0
43,2014,35487,Petrol,Manual,First,18.5,18.5,4.74,HYUNDAI,I20 MAGNA,1197.0
44,2014,46374,Petrol,Automatic,First,14.62,14.62,8.85,HYUNDAI,ELANTRA 2.0,1999.0
45,2016,52001,Petrol,Automatic,First,14.28,14.28,10.11,TOYOTA,COROLLA ALTIS,1798.0
46,2008,58005,Diesel,Manual,Second,14.9,14.9,4.25,HYUNDAI,ELANTRA CRDI,1991.0
47,2012,70704,Petrol,Manual,First,11.25,11.25,10.95,TOYOTA,INNOVA CRYSTA,2694.0
48,2014,75000,Diesel,Manual,First,24.4,24.4,3.85,HYUNDAI,XCENT 1.1,1120.0
49,2012,75800,Diesel,Manual,Second,16.55,16.55,5.5,MAHINDRA,THAR CRDE,2498.0
50,2015,13648,Diesel,Automatic,First,17.11,17.11,21.43,AUDI,A4 2.0,1968.0
51,2014,52000,Diesel,Manual,First,22.9,22.9,4.25,MARUTI,SWIFT LDI,1248.0
52,2014,53000,Diesel,Manual,First,17.8,17.8,3.3,MARUTI,SWIFT LDI,1248.0
53,2013,65650,Diesel,Manual,First,28.4,28.4,3.85,MARUTI,SWIFT VDI,1248.0
54,2015,54000,Petrol,Manual,Third,18.9,18.9,3.6,HYUNDAI,GRAND I10,1197.0
55,2015,39000,Petrol,Manual,First,15.04,15.04,3.99,VOLKSWAGEN,VENTO 2013-2015,1598.0
56,2017,16542,Petrol,Manual,First,25.17,25.17,3.3,RENAULT,KWID RXT,799.0
57,2010,32000,Petrol,Manual,First,20.36,20.36,2.07,HYUNDAI,I10 ASTA,1197.0
58,2010,121812,Diesel,Automatic,First,13.29,13.29,7.75,NISSAN,X-TRAIL SLX,1995.0
59,2010,39300,Petrol,Manual,First,18.2,18.2,2.25,MARUTI,ZEN ESTILO,998.0
60,2017,22000,Diesel,Manual,First,13.68,13.68,16.5,TOYOTA,INNOVA CRYSTA,2393.0
61,2010,72000,Diesel,Manual,First,20.0,20.0,2.75,FORD,FIGO DIESEL,1399.0
62,2015,58000,Petrol,Automatic,First,11.74,11.74,26.7,MERCEDES-BENZ,NEW C-CLASS,1796.0
63,2011,65000,Diesel,Manual,Second,15.8,15.8,10.0,MERCEDES-BENZ,NEW C-CLASS,2148.0
64,2016,178000,Diesel,Manual,First,25.0,25.0,2.5,TATA,INDICA V2,1396.0
65,2012,65664,Diesel,Automatic,First,16.55,16.55,13.5,AUDI,A4 2.0,1968.0
66,2007,63000,Petrol,Automatic,Second,16.4,16.4,1.85,HONDA,CITY ZX,1497.0
67,2019,15369,Diesel,Automatic,First,0.0,0.0,35.67,MERCEDES-BENZ,C-CLASS PROGRESSIVE,1950.0
68,2016,63000,Diesel,Manual,First,24.52,24.52,8.15,MARUTI,ERTIGA SHVS,1248.0
69,2018,13000,Diesel,Manual,First,22.1,22.1,10.5,HYUNDAI,CRETA 1.4,1396.0
70,2008,73000,Petrol,Automatic,First,8.5,8.5,14.5,PORSCHE,CAYENNE 2009-2014,4806.0
71,2015,55729,Diesel,Manual,First,15.1,15.1,9.65,MAHINDRA,XUV500 W8,2179.0
72,2012,45178,Petrol,Automatic,First,16.95,16.95,3.48,HYUNDAI,I10 SPORTZ,1197.0
73,2015,56066,Diesel,Manual,First,19.64,19.64,6.92,NISSAN,TERRANO XV,1461.0
74,2016,37300,Petrol,Automatic,Second,16.5,16.5,6.46,HONDA,BRIO VX,1198.0
75,2014,56000,Diesel,Automatic,Second,18.53,18.53,29.5,AUDI,A6 2.0,1968.0
76,2008,111111,Diesel,Manual,First,17.8,17.8,2.0,FORD,FIESTA 1.4,1399.0
77,2006,230000,Petrol,Manual,Third,12.4,12.4,4.5,TOYOTA,INNOVA 2.0,1998.0
78,2012,104000,Diesel,Manual,First,12.8,12.8,11.75,TOYOTA,INNOVA 2.5,2494.0
