,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,brand,model
0,2010,72000,CNG,Manual,First,26.6,998,58.16,5.0,1.75,MARUTI,WAGON R LXI CNG
1,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5.0,12.5,HYUNDAI,CRETA 1.6 CRDI SX OPTION
2,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5.0,4.5,HONDA,JAZZ V
3,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7.0,6.0,MARUTI,ERTIGA VDI
4,2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5.0,17.74,AUDI,A4 NEW 2.0 TDI MULTITRONIC
5,2012,75000,LPG,Manual,First,21.1,814,55.2,5.0,2.35,HYUNDAI,EON LPG ERA PLUS OPTION
6,2013,86999,Diesel,Manual,First,23.08,1461,63.1,5.0,3.5,NISSAN,MICRA DIESEL XV
7,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8.0,17.5,TOYOTA,INNOVA CRYSTA 2.8 GX AT 8S
8,2013,64430,Diesel,Manual,First,20.54,1598,103.6,5.0,5.2,VOLKSWAGEN,VENTO DIESEL COMFORTLINE
9,2012,65932,Diesel,Manual,Second,22.3,1248,74,5.0,1.95,TATA,INDICA VISTA QUADRAJET LS
10,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5.0,9.95,MARUTI,CIAZ ZETA
11,2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5.0,4.49,HONDA,CITY 1.5 V AT SUNROOF
12,2015,64424,Diesel,Manual,First,25.2,1248,74,5.0,5.6,MARUTI,SWIFT VDI BSIV
13,2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5.0,27.0,LAND,ROVER RANGE ROVER 2.2L PURE
14,2012,85000,Diesel,Automatic,Second,0.0,2179,115,5.0,17.5,LAND,ROVER FREELANDER 2 TD4 SE
15,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7.0,15.0,MITSUBISHI,PAJERO SPORT 4X4
16,2016,58950,Diesel,Manual,First,25.8,1498,98.6,5.0,5.4,HONDA,AMAZE S I-DTECH
17,2017,25000,Diesel,Manual,First,28.4,1248,74,5.0,5.99,MARUTI,SWIFT DDIS VDI
18,2014,77469,Diesel,Manual,First,20.45,1461,83.8,5.0,6.34,RENAULT,DUSTER 85PS DIESEL RXL PLUS
19,2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5.0,28.0,MERCEDES-BENZ,NEW C-CLASS C 220 CDI BE AVANTGARE
20,2014,32982,Diesel,Automatic,First,22.69,1995,190,5.0,18.55,BMW,3 SERIES 320D
21,2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5.0,8.25,MARUTI,S CROSS DDIS 200 ALPHA
