Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Power,Price,Model,Brand
2010,72000,CNG,Manual,First,26.6,58.16,1627.325,WAGON R LXI CNG,MARUTI
2015,41000,Diesel,Manual,First,19.67,126.2,11623.75,CRETA 1.6 CRDI SX OPTION,HYUNDAI
2011,46000,Petrol,Manual,First,18.2,88.7,4184.55,JAZZ V,HONDA
2012,87000,Diesel,Manual,First,20.77,88.76,5579.4,ERTIGA VDI,MARUTI
2013,40670,Diesel,Automatic,Second,15.2,140.8,16496.426,A4 NEW 2.0 TDI MULTITRONIC,AUDI
2012,75000,LPG,Manual,First,21.1,55.2,2185.265,EON LPG ERA PLUS OPTION,HYUNDAI
2013,86999,Diesel,Manual,First,23.08,63.1,3254.65,MICRA DIESEL XV,NISSAN
2016,36000,Diesel,Automatic,First,11.36,171.5,16273.25,INNOVA CRYSTA 2.8 GX AT 8S,TOYOTA
2013,64430,Diesel,Manual,First,20.54,103.6,4835.4800000000005,VENTO DIESEL COMFORTLINE,VOLKSWAGEN
2012,65932,Diesel,Manual,Second,22.3,74.0,1813.3049999999998,INDICA VISTA QUADRAJET LS,TATA
2018,25692,Petrol,Manual,First,21.56,103.25,9252.505,CIAZ ZETA,MARUTI
2012,60000,Petrol,Automatic,First,16.8,116.3,4175.251,CITY 1.5 V AT SUNROOF,HONDA
2015,64424,Diesel,Manual,First,25.2,74.0,5207.44,SWIFT VDI BSIV,MARUTI
2014,72000,Diesel,Automatic,First,12.7,187.7,25107.3,ROVER RANGE ROVER 2.2L PURE,LAND
2012,85000,Diesel,Automatic,Second,0.0,115.0,16273.25,ROVER FREELANDER 2 TD4 SE,LAND
2014,110000,Diesel,Manual,First,13.5,175.56,13948.5,PAJERO SPORT 4X4,MITSUBISHI
2016,58950,Diesel,Manual,First,25.8,98.6,5021.46,AMAZE S I-DTECH,HONDA
2017,25000,Diesel,Manual,First,28.4,74.0,5570.101,SWIFT DDIS VDI,MARUTI
2014,77469,Diesel,Manual,First,20.45,83.8,5895.566,DUSTER 85PS DIESEL RXL PLUS,RENAULT
2014,78500,Diesel,Automatic,First,14.84,167.62,26037.2,NEW C-CLASS C 220 CDI BE AVANTGARE,MERCEDES-BENZ
2014,32982,Diesel,Automatic,First,22.69,190.0,17249.645,3 SERIES 320D,BMW
2015,55392,Diesel,Manual,Second,23.65,88.5,7671.675,S CROSS DDIS 200 ALPHA,MARUTI
2015,55985,Petrol,Automatic,First,13.53,177.01,21852.649999999998,A6 2011-2015 35 TFSI TECHNOLOGY,AUDI
2010,45807,Petrol,Manual,First,18.5,80.0,1738.913,I20 1.2 MAGNA,HYUNDAI
2010,33000,Petrol,Automatic,First,14.4,103.6,2650.215,VENTO PETROL HIGHLINE AT,VOLKSWAGEN
2012,51920,Petrol,Manual,First,16.8,116.3,3952.075,CITY CORPORATE EDITION,HONDA
2012,54000,Diesel,Manual,First,23.08,63.1,3952.075,MICRA DIESEL XV,NISSAN
2013,54000,Petrol,Manual,Second,20.92,67.1,2557.225,ALTO K10 2010-2014 VXI,MARUTI
2018,37430,Petrol,Manual,First,17.5,88.7,9206.01,WRV I-VTEC VX,HONDA
2007,262000,Diesel,Manual,Fourth & Above,12.8,102.0,3719.6,INNOVA 2.5 V DIESEL 7-SEATER,TOYOTA
2013,62000,Diesel,Manual,First,19.01,108.45,7206.724999999999,DUSTER 110PS DIESEL RXZ PACK,RENAULT
2012,87615,Petrol,Manual,First,14.53,138.1,6276.825,COROLLA ALTIS G,TOYOTA
2013,72000,Diesel,Automatic,Second,11.18,184.0,11623.75,SSANGYONG REXTON RX7,MAHINDRA
2010,35000,Diesel,Automatic,First,12.4,179.5,10693.85,A6 2.7 TDI,AUDI
2014,55431,Petrol,Manual,Second,16.09,103.5,6490.702,VENTO 1.6 HIGHLINE,VOLKSWAGEN
2009,83816,Petrol,Manual,Second,14.0,64.0,1720.315,WAGON R LXI BSIII,MARUTI
2018,50075,Diesel,Manual,First,24.3,88.5,8025.037,VITARA BREZZA ZDI PLUS,MARUTI
2017,52000,Petrol,Manual,First,18.15,82.0,4510.014999999999,KUV 100 MFALCON G80 K6 5STR AW,MAHINDRA
2013,85000,Diesel,Automatic,First,11.74,254.8,26037.2,M-CLASS ML 350 CDI,MERCEDES-BENZ
2013,62000,Diesel,Manual,First,22.07,73.9,4649.5,POLO DIESEL TRENDLINE 1.2L,VOLKSWAGEN
2008,90000,Petrol,Manual,Second,19.7,46.3,1162.375,ALTO LXI,MARUTI
2014,19698,Petrol,Manual,First,25.4,37.5,1422.747,NANO LX SE,TATA
2017,22033,Diesel,Manual,First,25.32,77.0,5188.842,KUV 100 MFALCON D75 K8 DUAL TONE,MAHINDRA
2014,35487,Petrol,Manual,First,18.5,82.9,4407.726,I20 MAGNA OPTIONAL 1.2,HYUNDAI
2014,46374,Petrol,Automatic,First,14.62,149.92,8229.615,ELANTRA 2.0 SX OPTION AT,HYUNDAI
2016,52001,Petrol,Automatic,First,14.28,138.03,9401.288999999999,COROLLA ALTIS G AT,TOYOTA
2008,58005,Diesel,Manual,Second,14.9,112.2,3952.075,ELANTRA CRDI,HYUNDAI
2012,70704,Petrol,Manual,First,11.25,163.7,10182.404999999999,INNOVA CRYSTA 2.7 GX MT,TOYOTA
2014,75000,Diesel,Manual,First,24.4,71.0,3580.115,XCENT 1.1 CRDI S,HYUNDAI
2012,75800,Diesel,Manual,Second,16.55,105.0,5114.45,THAR CRDE AC,MAHINDRA
2015,13648,Diesel,Automatic,First,17.11,174.33,19927.756999999998,A4 2.0 TDI 177 BHP PREMIUM PLUS,AUDI
2014,52000,Diesel,Manual,First,22.9,74.0,3952.075,SWIFT LDI,MARUTI
2014,53000,Diesel,Manual,First,17.8,75.0,3068.6699999999996,SWIFT LDI BSIV,MARUTI
2013,65650,Diesel,Manual,First,28.4,74.0,3580.115,SWIFT VDI,MARUTI
2015,54000,Petrol,Manual,Third,18.9,82.0,3347.64,GRAND I10 SPORTZ,HYUNDAI
2015,39000,Petrol,Manual,First,15.04,103.2,3710.301,VENTO 2013-2015 1.6 COMFORTLINE,VOLKSWAGEN
2017,16542,Petrol,Manual,First,25.17,53.3,3068.6699999999996,KWID RXT,RENAULT
2010,32000,Petrol,Manual,First,20.36,78.9,1924.8929999999998,I10 ASTA,HYUNDAI
2010,121812,Diesel,Automatic,First,13.29,147.6,7206.724999999999,X-TRAIL SLX AT,NISSAN
2010,39300,Petrol,Manual,First,18.2,67.1,2092.275,ZEN ESTILO VXI BSIII,MARUTI
2017,22000,Diesel,Manual,First,13.68,147.8,15343.35,INNOVA CRYSTA 2.4 GX MT 8S,TOYOTA
2010,72000,Diesel,Manual,First,20.0,68.0,2557.225,FIGO DIESEL TITANIUM,FORD
2015,58000,Petrol,Automatic,First,11.74,186.0,24828.329999999998,NEW C-CLASS C 200 CGI AVANTGARDE,MERCEDES-BENZ
2011,65000,Diesel,Manual,Second,15.8,170.0,9299.0,NEW C-CLASS 200 CDI CLASSIC,MERCEDES-BENZ
2016,178000,Diesel,Manual,First,25.0,69.0,2324.75,INDICA V2 ELS,TATA
2012,65664,Diesel,Automatic,First,16.55,140.0,12553.65,A4 2.0 TDI MULTITRONIC,AUDI
2007,63000,Petrol,Automatic,Second,16.4,78.0,1720.315,CITY ZX CVT,HONDA
2019,15369,Diesel,Automatic,First,0.0,194.0,33169.533,C-CLASS PROGRESSIVE C 220D,MERCEDES-BENZ
2016,63000,Diesel,Manual,First,24.52,88.5,7578.685,ERTIGA SHVS VDI,MARUTI
2018,13000,Diesel,Manual,First,22.1,88.7,9763.949999999999,CRETA 1.4 E PLUS DIESEL,HYUNDAI
2008,73000,Petrol,Automatic,First,8.5,500.0,13483.55,CAYENNE 2009-2014 TURBO,PORSCHE
2015,55729,Diesel,Manual,First,15.1,140.0,8973.535,XUV500 W8 4WD,MAHINDRA
2012,45178,Petrol,Automatic,First,16.95,78.9,3236.0519999999997,I10 SPORTZ 1.2 AT,HYUNDAI
2015,56066,Diesel,Manual,First,19.64,108.5,6434.907999999999,TERRANO XV D PRE,NISSAN
2016,37300,Petrol,Automatic,Second,16.5,86.8,6007.1539999999995,BRIO VX AT,HONDA
2014,56000,Diesel,Automatic,Second,18.53,187.74,27432.05,A6 2.0 TDI DESIGN EDITION,AUDI
2008,111111,Diesel,Manual,First,17.8,97.7,1859.8,FIESTA 1.4 SXI TDCI,FORD
2006,230000,Petrol,Manual,Third,12.4,132.0,4184.55,INNOVA 2.0 G1,TOYOTA
2012,104000,Diesel,Manual,First,12.8,102.0,10926.324999999999,INNOVA 2.5 VX 7 STR BSIV,TOYOTA
2005,87591,Petrol,Manual,First,0.0,97.7,1208.8700000000001,SANTRO XING XL,HYUNDAI
2012,95100,Diesel,Manual,First,22.9,74.0,3487.125,SWIFT VDI,MARUTI
